Amount Awarded,Core Funding Area,Initiative,Project Duration,Region,summary,TWCF Number,url
"$233,680",Big Questions,Diverse Intelligences,1 July 2020 - 30 June 2023,Oceania,"As humans, our skills define us. No skill is more human than the exercise of moral judgment. We are already using artificial intelligence (AI) to automate decisions—many with major moral implications. In other domains of human activity, automating a task diminishes our skill at that task. Will “moral automation” diminish our moral skill? If so, how can we mitigate that risk, and adapt AI to enable moral “upskilling”?Directed by Seth Lazar, this Diverse Intelligences project—a partnership with the Humanising Machine Intelligence (HMI) grand challenge at the Australian National University—will use philosophy, social psychology, and computer science to answer these questions.The first stage of treatment is diagnosis. The project team will begin by identifying existing and prospective varieties of moral automation before exploring the philosophical and social-psychological foundations of the argument from moral automation to moral deskilling. In doing so, the team will determine just why, and how much, we should be worried about moral deskilling.The next stage of treatment is mitigation and adaptation. The team will propose technological and institutional solutions to mitigate the risk of moral deskilling, but they will also argue that AI systems will enable us to adapt to the challenge of automation by morally upskilling in other areas. In particular, some measure of moral automation will free us up to pursue the morally most demanding aspects of our personal relationships. AI research will enable new kinds of moral knowledge and moral inquiry; and by affording us new understandings and capacities, it can make new kinds of moral behavior possible. Dr. Lazar’s project will produce scholarship of the highest order. But the team’s goals are not narrowly academic. Through the HMI project, they will translate their research to maximize its impact at all levels of society.",0469,https://www.templetonworldcharity.org/projects-database/moral-skill-and-artificial-intelligence
"$233,999",Big Questions,Diverse Intelligences,1 June 2020 - 31 May 2023,North America,"The paleontologist Stephen Jay Gould famously argued that replaying the “tape of life” would result in a radically different set of animal forms. Although Gould’s thought experiment intended to make the case for the contingency of complex bodies, it is particularly provocative for the implications that it might have for the replicability of complex minds. Studies of convergent evolution, or the independent origination of similar biological forms in the living world, have challenged Gould’s thesis.Much attention has been devoted to the importance of convergence as a general evolutionary phenomenon, but scholars have yet to systematically explore its philosophical implications for the deep structure of mind, meaning, and moral value. Directed by Russell Powell, this Diverse Intelligences project will bring together an international team of experts in the philosophy of evolution and cognition. They will examine what patterns of convergence in the evolution of social norms. Whereas many theorists assume that higher cognition or even language is necessary for the appearance of social norms, Prof. Powell’s team will develop a more inclusive account that encompasses far greater swaths of animal life. In short, the project will provide conceptual and empirical foundations for the bold claim that normativity and the moral value and valuing to which it gives rise are not accidental outcomes of human evolution but law-like fixtures of biospheres. This three-year project will result in two books, six journal articles, and an international conference.",0469,https://www.templetonworldcharity.org/projects-database/minds-without-spines-uncovering-deep-structure-mind-meaning-and-morality
"$234,811",Big Questions,Diverse Intelligences,1 June 2020 - 31 August 2022,North America,"In an apparent display of altruism, humpback whales have been documented putting their own well-being at risk to come to the aid of smaller species in mortal distress. This exhibition of altruistic behavior may be indicative of empathy. Directed by Laurance Doyle, this Diverse Intelligences project will employ acoustic playbacks of predatory species (killer whales), coupled with the distress sounds of imperiled sea lions, in an effort to use empirical science to test for evidence of empathy in a non-human species that is evolutionarily separated from humans by 65 million years. In doing so, Dr. Doyle’s team will expand the lens of knowledge pertaining to compassionate action (that in many traditions forms the ethical foundation for human societies), and extend this theoretical foundation to include non-human species in the context of their own natural systems.",0440,https://www.templetonworldcharity.org/projects-database/investigating-empathy-southeast-alaskan-humpback-whales
"$233,785",Big Questions,Diverse Intelligences,1 June 2020 - 31 May 2023,Europe,"What are the unifying principles that underlie the evolution of intelligence across the animal kingdom? To discover the answer to this question, Michael Muthukrishna and his team will investigate alien intelligences in our midst: those of octopuses and other cephalopods. In doing so, they hope to move toward a better appreciation of the true diversity of intelligence.Cephalopods live in a strange underwater world, solving puzzles and using tools with a nervous system far less centralized than our own top-heavy, large-brain architecture. And they do this mostly alone and over short lives spanning a few years. Cephalopod capabilities for problem solving are stunning. How can we explain this, and what does it tell us about ourselves? The answers lie in the data. There exist many studies and observations—particularly on octopus, squid, and cuttlefish—but these data are spread across the literature.In this Diverse Intelligences project, the team will compile all available literature on the brains, bodies, behavior, life history, sociality, reproductive patterns, and ecology of cephalopods into a database. Such a database can highlight gaps in our knowledge, and it can help us see patterns we may not notice in studying a single species. Data without theory can mislead us. But when we compare these patterns to the patterns found in other comparable databases—primates and, more recently, whales and dolphins—we can begin to appreciate the diversity of both intelligence and the evolutionary paths to intelligence. We can see the intelligence of our own species from a rare external perspective.The cultural brain hypothesis is an ambitious general theory of brain evolution. If the cultural brain hypothesis can explain the intelligence of cephalopods, Dr. Muthukrishna and his team will, for the first time, have a general theory of the evolution of brains and intelligence across the animal kingdom. Using theory, data, and advanced statistics, such as phylogenetically controlled causal path modeling, the team will meet these other minds to learn about them and ask them about ourselves.",0464,https://www.templetonworldcharity.org/projects-database/theory-cephalopod-intelligence-alien-intelligence-our-midst
"$1,469,486",Big Questions,,1 May 2020 - 30 April 2023,North America,"Philosophers and neuroscientists study many of the same big questions about human nature, including free will, morality, perception, knowledge, and consciousness. But researchers in these disciplines rarely work together—or even understand each other.With a goal of advancing both fields, Walter Sinnott-Armstrong (Duke University) aims to foster mutual appreciation and collaboration. To do so, his project will hold three annual summer seminars. Over the course of 14 days, ten fellows from neuroscience will study contemporary philosophy; ten fellows from philosophy will learn about recent developments in neuroscience. These seminars will include theories and methods in both disciplines.While studying the field outside their expertise, fellows will form interdisciplinary teams that will design their own experiments on big questions. The project will fund the most promising of these experiments, carried out with guidance from project staff and reported at the next year’s seminar. Each seminar will close with a two-day public conference with leading figures from both disciplines.The project’s outputs will include three seminars that train 60 fellows and feature around 60 speakers, as well as three conferences that educate over 300 audience members. Later outcomes will include at least 20 original research papers by the fellows and directors.The team seeks to create lasting bonds among future leaders in philosophy and neuroscience. Through these bonds, they can continue to collaborate for many years on more interdisciplinary research projects that address big questions. This project has the potential to change both fields by stimulating new interdisciplinary courses and programs in many universities. It can also provide models of how to engage in cutting-edge scientific research on profound philosophical questions.",0384,https://www.templetonworldcharity.org/projects-database/summer-seminars-neuroscience-and-philosophy
"$233,697",Big Questions,Diverse Intelligences,1 April 2020 - 31 March 2023,North America,"“A common danger unites even the bitterest enemies.” – AristotlePopular belief holds that nothing unites like a common enemy, but is this really true? Politicians seem to think so, often using divisive rhetoric and fearmongering to unite their political party against a common enemy. Recent research supports the premise that between-group conflict may be a “necessary evil” to promote and maintain the high levels of cooperation characteristic of human groups. Furthermore, parochial altruism—heightened ingroup favoritism in the face of conflict—may have biological underpinnings deeply rooted in our evolution.Specifically, oxytocin and testosterone, hormones linked to prosociality and competition, respectively, moderate the positive feelings we experience toward our groupmates and the hostility we feel toward others. Of course, all social animals have rich social lives and elaborate social capacities. They should, like humans, also benefit from a high degree of group cohesion and cooperation when encountering a common threat.How common is conflict as a driver of cooperation? And do other social animals experience ingroup favoritism and outgroup hostility? This Diverse Intelligences project, directed by Sarah Brosnan, aims to answer these questions to examine how competition influences cooperation, and the mechanisms that mediate cooperation during conflict in capuchin monkeys.Brosnan’s team presents two novel advances over previous work. First, past studies have been constrained to laboratory settings, where between-group competition is nonexistent. In contrast, Brosnan’s team proposes a controlled cooperative paradigm in the wild, where competition is a near-constant stressor, allowing for, rather than controlling against, a rich array of social interactions. Second, while researchers cannot directly ask how animals feel, their ability to monitor hormone levels and endogenously manipulate oxytocin—again in the wild—allows the team to answer these questions in new ways. This provides valuable evidence on how capuchins experience the world and how it relates to human experience.",0471,https://www.templetonworldcharity.org/projects-database/two-sides-same-coin-can-cooperation-exist-without-conflict
"$234,000",Big Questions,Diverse Intelligences,1 March 2020 - 28 February 2023,North America,"Do other species besides humans have language? How would we recognize a nonhuman language if it existed? And how might we begin to not only assess the structure and patterns of signals, but interpret the meaning of nonhuman communication signals?Denise Herzing's Diverse Intelligences project seeks to answer these questions. Understanding language is a major obstacle in recognizing the diversity of intelligence across species on Earth. Although we have an extensive understanding of human language across cultures, we have not fully explored nonhuman communication signals to determine if language, or aspects of language, exist. Rich communication streams are central to intelligence in many life forms. Researchers have attempted to assess the language potential in nonhuman species communication signals using information theory and other methods. However, the potential details, including structure and meaning, have lacked adequate tools and testing. To fully explore nonhuman communication, we need to not only supplement complementary existing tools (e.g., information theory) but also develop new tools that reveal details of potential order, grammar, and metadata that help us interpret these signals and look for any universal structures that might emerge. Many scientific studies in past decades have attempted to discover how other species communicate. Although there have been studies of the cognitive abilities and intelligence measures in dolphins and other species, many researchers may exhibit an a priori belief that language is unique to humans, thus biasing their approaches. Dr. Herzing’s team aims to find true linguistic richness in the vocalizations of dolphins, which would represent nothing less than a paradigm shift in the way we understand diverse intelligence. Answering the question of whether nonhuman language exists will give us a deeper understanding of the world and the intelligence that surrounds us.",0468,https://www.templetonworldcharity.org/projects-database/why-listening-dolphins-matters-looking-language-and-universal-patterns
"$233,496",Big Questions,Diverse Intelligences,1 March 2020 - 1 August 2022,Asia,"The Buddhist doctrine of no-self is a key Buddhist concept. According to Buddhist beliefs, all causal entities exist by virtue of their relations, as opposed to having an enduring essence. On the surface, this concept appears orthogonal to the pressing needs of AI implementation. But a closer look shows something else.By revealing how deeply interconnected we all are, Buddhism provides a system of moral reasoning and practices to inform decisions aimed at well-being and happiness. This Diverse Intelligences project will apply Buddhist concepts of interconnected networks of sentient agency to AI issues. The Center for the Study of Apparent Selves seeks to create an academically rigorous translational handbook that pairs key concepts in Buddhism with real-world AI issues. These include moral decisions, unexpected consequences, and human flourishing. This initiative, directed by Thomas Doctor, aims to incorporate the models and wisdom of Buddhism in a practical, effective way. The resulting model will be communicated and tested via workshops and publications.",0470,https://www.templetonworldcharity.org/projects-database/where-selves-are-mere-appearance-translation-being-agency-and-ethics-ai-and
"$233,532",Big Questions,,1 March 2020 - 30 June 2022,Europe,"This project, directed by Alister McGrath, seeks to situate Sir John Templeton’s worldview in historical context. Its goal is to identify the precedents for the major ideas that comprise Sir John’s worldview, and thereby situate them in relation to relevant past and contemporary discussions about similar topics. By focusing on the sources on which he drew, historical analysis of Sir John’s worldview—that is, establishing how his ideas relate to the work of past and present figures who have written about similar issues—will provide a much fuller picture not only of what Sir John thought, but also what influenced his thinking. The outputs from the project will be two articles for publication in peer-reviewed journals, the manuscript of an accessible yet scholarly and rigorous book, and a popular article intended for wide readership. We anticipate that these outputs will increase the level of public understanding of Sir John and his vision.",0426,https://www.templetonworldcharity.org/projects-database/intellectual-world-sir-john-templeton
"$233,738",Big Questions,Diverse Intelligences,17 February 2020 - 28 February 2022,Oceania,"To investigate the diversity of intelligence, we need an account of intelligent action that isn’t biased toward the human scale. Small-scale creatures, such as bacteria, and slow-acting ones, such as plants and slime molds, need to be understood on their own terms, rather than being judged by human standards. This Diverse Intelligences project will develop such an account by focusing on the central concept of agency. Agency distinguishes intelligent action from merely mechanical responsiveness and from unguided spontaneity. But most standard accounts of agency also show a bias toward the human scale. Thus, agency needs to be re-conceived in a way that is compatible with activity on multiple scales.Through philosophical analysis and through engagement with scientists working on “minimal” forms of intelligence in systems such as bacteria, plants, and slime molds, the project team will develop a rigorous account of agency that can apply across a diverse range of spatial and temporal scales. This will involve integrating agency with other scale-dependent concepts and building a better understanding of how we must conceive of agency at different levels of explanation.The project will involve a two-year collaboration between Patrick McGivern and a postdoctoral fellow, resulting in a series of papers and a monograph tentatively titled “The Abundance of Agency: Understanding Agents on Multiple Scales.”",0463,https://www.templetonworldcharity.org/projects-database/intelligent-agency-multiple-scales
